               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.064492,             0.19682,            0.030706,             0.53658,             0.36827,             0.38429,              0.2003,            0.061471,             0.15091,            0.025039,            0.004936,            0.004936,            0.004936
                  56,            0.064464,             0.19696,            0.030642,             0.51612,             0.37826,             0.38676,             0.20089,            0.061388,             0.15089,            0.024897,            0.004796,            0.004796,            0.004796
                  57,            0.064331,             0.19607,            0.030492,             0.51352,             0.37934,             0.38476,             0.20074,            0.061409,             0.15079,            0.024888,           0.0046568,           0.0046568,           0.0046568
                  58,            0.064283,             0.19608,            0.030454,             0.53506,             0.37337,             0.38698,             0.20062,            0.061375,              0.1508,            0.024813,           0.0045184,           0.0045184,           0.0045184
                  59,            0.064243,             0.19608,            0.030271,             0.52731,             0.37655,             0.38765,             0.20196,            0.061314,             0.15097,            0.024731,           0.0043809,           0.0043809,           0.0043809
                  60,            0.064119,              0.1958,            0.030201,             0.54159,             0.37146,             0.38964,             0.20258,            0.061291,             0.15067,            0.024666,           0.0042445,           0.0042445,           0.0042445
                  61,             0.06417,             0.19622,             0.03006,             0.51848,             0.37967,             0.38929,             0.20365,            0.061241,             0.15075,             0.02461,           0.0041094,           0.0041094,           0.0041094
                  62,            0.064053,             0.19564,            0.029973,             0.55892,             0.36669,             0.39039,             0.20498,            0.061167,             0.15062,            0.024579,           0.0039757,           0.0039757,           0.0039757
                  63,            0.063885,              0.1958,            0.029872,             0.51679,             0.38677,             0.39124,             0.20409,            0.061181,             0.15062,            0.024533,           0.0038434,           0.0038434,           0.0038434
                  64,            0.063842,             0.19492,            0.029713,              0.5351,             0.37694,             0.39242,             0.20574,            0.061154,             0.15058,            0.024443,           0.0037128,           0.0037128,           0.0037128
                  65,            0.063801,             0.19507,            0.029646,             0.54734,             0.37651,             0.39396,             0.20641,            0.061103,              0.1505,            0.024399,            0.003584,            0.003584,            0.003584
                  66,            0.063719,              0.1946,            0.029542,             0.52711,              0.3827,             0.39637,             0.20764,            0.061087,             0.15054,            0.024349,            0.003457,            0.003457,            0.003457
                  67,            0.063714,               0.195,            0.029437,             0.56979,             0.36563,             0.39663,             0.20692,             0.06102,             0.15028,             0.02427,           0.0033321,           0.0033321,           0.0033321
                  68,            0.063605,             0.19455,            0.029327,             0.54421,             0.37894,             0.39627,             0.20734,            0.061025,             0.15033,            0.024188,           0.0032093,           0.0032093,           0.0032093
                  69,            0.063571,             0.19465,            0.029215,             0.54722,             0.37532,             0.39579,             0.20704,             0.06103,             0.15033,             0.02424,           0.0030888,           0.0030888,           0.0030888
                  70,            0.063533,             0.19434,            0.029095,             0.54839,             0.37708,             0.39682,             0.20805,            0.060975,             0.15015,            0.024128,           0.0029706,           0.0029706,           0.0029706
                  71,            0.063462,             0.19405,            0.029028,             0.55255,             0.37688,              0.3998,             0.20888,            0.060964,                0.15,              0.0241,            0.002855,            0.002855,            0.002855
                  72,            0.063272,              0.1937,            0.028887,             0.53896,              0.3895,             0.40278,             0.21124,            0.060908,             0.14988,            0.024029,           0.0027419,           0.0027419,           0.0027419
                  73,            0.063206,             0.19375,            0.028754,             0.56734,             0.37494,             0.40176,             0.21166,            0.060877,             0.15008,            0.023979,           0.0026316,           0.0026316,           0.0026316
                  74,            0.063206,              0.1931,            0.028743,             0.53082,             0.38763,               0.402,             0.21092,            0.060887,             0.15007,             0.02394,           0.0025241,           0.0025241,           0.0025241
                  75,             0.06304,             0.19237,            0.028547,             0.53914,             0.38424,             0.40195,             0.21127,            0.060837,             0.15012,            0.023935,           0.0024195,           0.0024195,           0.0024195
                  76,            0.062987,             0.19281,            0.028464,             0.54009,             0.38877,              0.4026,             0.21083,            0.060854,             0.14997,            0.023821,            0.002318,            0.002318,            0.002318
                  77,            0.063003,             0.19305,            0.028324,             0.52649,             0.39318,             0.40395,             0.21312,             0.06081,             0.14982,            0.023876,           0.0022196,           0.0022196,           0.0022196
                  78,            0.062943,             0.19286,            0.028246,             0.53462,              0.3896,              0.4027,             0.21128,              0.0608,             0.14995,            0.023888,           0.0021245,           0.0021245,           0.0021245
                  79,            0.062824,             0.19243,            0.028165,             0.55146,             0.38025,             0.40281,             0.21177,            0.060782,             0.14976,             0.02383,           0.0020327,           0.0020327,           0.0020327
                  80,            0.062727,             0.19255,            0.028011,             0.55646,             0.37857,             0.40533,             0.21229,            0.060723,             0.14988,            0.023798,           0.0019443,           0.0019443,           0.0019443
                  81,            0.062665,              0.1918,            0.027966,             0.55883,             0.38155,             0.40465,             0.21385,            0.060706,              0.1499,            0.023799,           0.0018594,           0.0018594,           0.0018594
                  82,            0.062532,             0.19127,             0.02788,             0.54378,             0.38558,             0.40431,               0.212,            0.060732,             0.14975,             0.02373,           0.0017781,           0.0017781,           0.0017781
                  83,            0.062543,             0.19126,            0.027822,             0.53061,             0.39478,             0.40542,             0.21429,            0.060686,              0.1497,            0.023641,           0.0017005,           0.0017005,           0.0017005
                  84,            0.062404,             0.19141,            0.027655,              0.5429,             0.38541,             0.40542,             0.21324,             0.06069,             0.14972,            0.023687,           0.0016267,           0.0016267,           0.0016267
                  85,             0.06241,             0.19124,             0.02762,             0.53459,             0.39641,             0.40791,              0.2149,             0.06066,             0.14978,            0.023618,           0.0015566,           0.0015566,           0.0015566
                  86,            0.062342,             0.19055,            0.027363,             0.56823,             0.37849,             0.40637,             0.21518,            0.060645,             0.14982,            0.023613,           0.0014905,           0.0014905,           0.0014905
                  87,            0.062271,             0.19094,            0.027398,             0.56395,             0.38369,             0.40755,             0.21534,            0.060638,              0.1497,            0.023556,           0.0014283,           0.0014283,           0.0014283
                  88,            0.062262,             0.19064,            0.027262,             0.56917,             0.38168,             0.40945,             0.21505,            0.060631,             0.14973,            0.023521,           0.0013701,           0.0013701,           0.0013701
                  89,            0.062201,             0.19022,            0.027226,             0.55854,              0.3841,              0.4086,             0.21637,            0.060565,             0.14966,            0.023518,            0.001316,            0.001316,            0.001316
                  90,            0.062126,             0.19033,            0.027223,             0.56305,             0.38024,             0.40991,             0.21627,            0.060566,             0.14961,            0.023486,            0.001266,            0.001266,            0.001266
                  91,            0.062085,             0.19065,            0.027065,             0.56881,             0.38061,             0.41092,             0.21683,            0.060579,             0.14966,            0.023431,           0.0012202,           0.0012202,           0.0012202
                  92,             0.06208,             0.19019,            0.027058,             0.57244,             0.37864,             0.41065,             0.21643,            0.060589,             0.14964,            0.023406,           0.0011787,           0.0011787,           0.0011787
                  93,            0.062017,             0.19028,            0.027018,             0.54875,             0.38693,             0.40988,             0.21748,            0.060515,              0.1495,            0.023433,           0.0011414,           0.0011414,           0.0011414
                  94,            0.061888,             0.18965,            0.026894,             0.56491,             0.38215,             0.41095,             0.21838,            0.060471,             0.14948,            0.023435,           0.0011084,           0.0011084,           0.0011084
                  95,            0.061857,              0.1892,            0.026943,             0.57399,             0.38013,             0.41022,             0.21826,            0.060528,             0.14946,            0.023403,           0.0010797,           0.0010797,           0.0010797
                  96,            0.061869,             0.19011,            0.026851,             0.55477,             0.38876,             0.41038,             0.21714,            0.060502,             0.14943,            0.023404,           0.0010554,           0.0010554,           0.0010554
                  97,            0.061797,              0.1895,            0.026773,             0.54698,             0.39098,             0.41262,             0.21804,             0.06049,             0.14953,             0.02339,           0.0010355,           0.0010355,           0.0010355
                  98,            0.061882,             0.18914,            0.026772,              0.5458,              0.3938,             0.41229,             0.21789,            0.060498,             0.14939,            0.023327,             0.00102,             0.00102,             0.00102
                  99,            0.061869,             0.18957,            0.026728,             0.54482,             0.39323,             0.41142,             0.21782,            0.060463,             0.14951,            0.023394,           0.0010089,           0.0010089,           0.0010089
                  99,            0.061869,             0.18957,            0.026728,             0.52514,             0.39103,             0.41026,             0.22788,            0.060493,             0.14947,            0.023426,           0.0010089,           0.0010089,           0.0010089
